区分,付与時間,付与方法,付与元,件名,付与内容
関係機関,10:30,付与カード,"関西電力枚方営業所",停電の発生状況,"　１０時現在の停電発生状況は、東香里１丁目周辺と宮之阪・星丘周辺、香里ケ丘１～３丁目周辺で停電が発生している。担当職員が現在原因究明に努めている。原因究明次第、復旧作業にはいります。"関係機関,10:30,付与カード,"枚方寝屋川消防組合","穂谷のがけ崩れ（第1報）","穂谷２丁目～３丁目付近で土砂災害発生し、住宅４棟が被災。住民が埋もれている可能性もあるため捜索を開始する。一帯を通行止め救助・救出活動：救助隊を編成し、本日１０：３０から救助活動を実施。（内訳警察　　人、消防　　人、消防団１０人計　　人）現在、枚方警察署と消防組合による合同現地本部を開設し現地指揮をとっているが、住民対応やマスコミ対応等市役所で対応してほしい。"
関係機関,10:35,電話,上下水道局,断水の発生状況,岡南町の土砂災害の影響で、周辺が断水している可能性がある。現場確認に向かっている。
関係機関,10:40,電話,枚方土木事務所,枚方交野寝屋川線（府道）の被害状況,"場所：枚方市樟葉中央～藤原被害状況：２０ｃｍ程度の冠水対応状況：警察が現場通行規制中"
関係機関,10:40,付与カード,"大阪ガス北東導管部",ガス被害の発生状況,　ガス供給停止に関する情報なし。
関係機関,10:40,付与カード,"ＮＴＴ西日本大阪東支店",電話の不通状況,　電話不通に関する情報なし。
関係機関,10:40,付与カード,枚方警察署,"住家（岡南町）へのがけ崩れ（第1報）",岡南町付近でがけ崩れが発生したが、住宅被害、人的被害はない模様。
関係機関,10:45,付与カード,"京阪電鉄枚方市駅",運行状況,京阪本線は、現在通常運行中。交野線は少しダイヤが乱れています
関係機関,10:45,付与カード,"ＪＲ西日本長尾駅",運行状況,学研都市線は、１２時以降の運行見合わせを検討中。
関係機関,10:55,付与カード,"京阪バス枚方営業所",運行状況,京阪バスは、各路線で少しダイヤが乱れていますが通常運行中。午後２時以降の全面運休を検討中。決定次第、連絡します。
関係機関,11:00,電話,枚方土木事務所,枚方交野寝屋川線（府道）の被害状況,"場所：枚方市招提中町２　招堤口付近被害状況：法面崩壊対応状況：土木事務所職員がカラーコーンで対応中。法面部にコンクリート打設工事を予定"
関係機関,11:00,付与カード,交野警察署,道路の冠水状況,藤阪駅周辺（藤阪南町３丁目あたり）が道路冠水のため、交通規制を行っています。
関係機関,11:10,電話,枚方土木事務所,水害タイムラインに基づく行動,大雨警報発表以降、第２非常配備に移行し、大雨等に関する情報収集を行っています。また、道路等のパトロールを適宜実施しており、現在までに道路等で異常は確認できていません。
関係機関,11:15,電話,大阪国道事務所,国道１号線の通行止め,"場所：出屋敷元町２丁目３－７の交差点から出屋敷西町１丁目７－１の交差点まで約１kmを道路冠水の為、通行止めにします。冠水状況：それぞれ２０ｃｍ～３０ｃｍ程度の冠水対応状況：国道事務所職員４名が現場通行規制中で、迂回経路については国道307号線から第2京阪沿いの国道1号線を案内しています。"
関係機関,11:15,付与カード,"ＪＲ西日本長尾駅",運行状況,"学研都市線は、午後１２時より全面運休を決定。順次、本数を減らしていきます。"
関係機関,11:15,付与カード,"枚方寝屋川消防組合","住家へのがけ崩れ（第２報）\n別紙あり","穂谷でのがけ崩れの第2報。住所：穂谷２丁目～３丁目被害家屋：一般住宅４棟居所判明者：２名、行方不明者：１１名、重軽傷者：１名救助・救出活動：本日１０：３０から救助活動を実施中。（内訳警察　　人、消防　　人、消防団１０人計　　人）"
