区分,付与時間,付与方法,付与元,件名,付与内容,付与先
関係機関,10:30,付与カード,"関西電力枚方営業所",停電の発生状況,"　１０時現在の停電発生状況は、東香里１丁目周辺と宮之阪・星丘周辺、香里ケ丘１～３丁目周辺で停電が発生している。担当職員が現在原因究明に努めている。原因究明次第、復旧作業にはいります。",infrastructure_team
関係機関,10:45,付与カード,"ＪＲ西日本長尾駅",運行状況,学研都市線は、１２時以降の運行見合わせを検討中。,information_team
関係機関,10:55,付与カード,"京阪バス枚方営業所",運行状況,京阪バスは、各路線で少しダイヤが乱れていますが通常運行中。午後２時以降の全面運休を検討中。決定次第、連絡します。,information_team
関係機関,11:00,電話,枚方土木事務所,枚方交野寝屋川線（府道）の被害状況,"場所：枚方市招提中町２　招堤口付近被害状況：法面崩壊対応状況：土木事務所職員がカラーコーンで対応中。法面部にコンクリート打設工事を予定",infrastructure_team
関係機関,11:00,付与カード,交野警察署,道路の冠水状況,藤阪駅周辺（藤阪南町３丁目あたり）が道路冠水のため、交通規制を行っています。,infrastructure_team
関係機関,11:10,電話,枚方土木事務所,水害タイムラインに基づく行動,大雨警報発表以降、第２非常配備に移行し、大雨等に関する情報収集を行っています。また、道路等のパトロールを適宜実施しており、現在までに道路等で異常は確認できていません。,infrastructure_team
関係機関,11:15,電話,大阪国道事務所,国道１号線の通行止め,"場所：出屋敷元町２丁目３－７の交差点から出屋敷西町１丁目７－１の交差点まで約１kmを道路冠水の為、通行止めにします。冠水状況：それぞれ２０ｃｍ～３０ｃｍ程度の冠水対応状況：国道事務所職員４名が現場通行規制中で、迂回経路については国道307号線から第2京阪沿いの国道1号線を案内しています。",infrastructure_team
関係機関,11:30,付与カード,交野警察署,避難所状況について,現在、開設している避難所において体調不良者がいるか知りたいので一覧でいただきたいです。,supply_team
関係機関,11:35,付与カード,"ＮＴＴ西日本大阪東支店",電話の不通状況,　電話不通に関する情報なし。,information_team
関係機関,11:40,電話,枚方土木事務所,京都守口線の被害状況,京都守口線（天野川から船橋川までの間）の道路状況を確認したが、１１：４０時点で冠水等の異常は認められなかった。,infrastructure_team
関係機関,11:45,付与カード,"京阪バス枚方営業所",運行状況,午後２時より全面運休を決定,information_team
関係機関,11:50,電話,上下水道局,断水に関する状況確認,　岡南町で断水が発生しているエリアの避難世帯数と氏名の問い合わせ（⇒１３時３０分頃に回答必要）,supply_team
関係機関,13:15,付与カード,"枚方寝屋川消防組合","住家へのがけ崩れ（第３報）\n別紙あり","穂谷でのがけ崩れに伴う行方不明者の捜索状況について。住所：穂谷２丁目～３丁目被害家屋：一般住宅４棟居所判明者：４名、行方不明者：６名、重軽傷者：４名救助・救出活動：本日１０：３０から救助活動を実施中。（内訳警察　　人、消防　　人、消防団１０人計　　人）",infrastructure_team
関係機関,14:00,付与カード,上下水道局,断水の発生状況,"　岡南町で断水が発生している模様。断水エリアを確定し、必要に応じて給水活動する予定",infrastructure_team
関係機関,14:00,付与カード,"枚方寝屋川消防組合","住家へのがけ崩れ（第４報）\n別紙あり","穂谷でのがけ崩れに伴う行方不明者の捜索状況について。住所：穂谷２丁目～３丁目被害家屋：一般住宅４棟居所判明者：７名、死者：２名、行方不明者：１名、重軽傷者：４名救助・救出活動：本日１０：３０から救助活動を実施中（内訳警察　　人、消防　　人、消防団１０人計　　人）",infrastructure_team
避難所職員,10:30,付与カード,中宮小学校,物資の要請,高齢者用食を30食いただきたい。,supply_team
避難所職員,10:45,付与カード,明倫小学校,物資の要請,アルファ化米（個食）と水（500ml）を50個ずついただきたい。,supply_team
避難所職員,10:50,付与カード,菅原東小学校,物資の要請,アルファ化米（炊き出し用）を50食分いただきたい。,supply_team
避難所職員,11:00,付与カード,津田南小学校,物資の要請,毛布がかび臭いので、30枚ほど送ってほしい。マスクも100枚ほしい。,supply_team"
避難所職員,11:35,付与カード,津田南小学校,物資の要請,毛布が届いていない。いつ送ってもらえるか？,supply_team
